file_uid	speaker_label	sex	year_born	where_born	where_raised	native_language
M01000FNU	VVC009923_speaker1	M	na	na	na	na
M01000FNU	VVC009923_speaker2	M	na	na	na	na
M01000FO1	VVC012338_speaker1	M	na	na	na	na
M01000FO1	VVC012338_speaker2	M	na	na	na	na
M01000FO1	VVC012338_speaker3	M	na	na	na	na
M01000FO1	VVC012338_speaker4	M	na	na	na	na
M01000FO1	VVC012338_speaker5	M	na	na	na	na
M01000FO1	VVC012338_speaker6	M	na	na	na	na
M01000537	ma_0859_A	M	na	na	na	na
M01000537	ma_0859_A1	F	na	na	na	na
M01000537	ma_0859_B	F	na	na	na	na
M01000537	ma_0859_B1	M	na	na	na	na
M01000538	ma_0861_A	M	na	na	na	na
M01000538	ma_0861_B	F	na	na	na	na
M01000538	ma_0861_B1	F	na	na	na	na
M01000538	ma_0861_B2	F	na	na	na	na
M0100053C	ma_0916_A	M	na	na	na	na
M0100053C	ma_0916_B	M	na	na	na	na
M0100053G	ma_0881_A	F	na	na	na	na
M0100053G	ma_0881_B	F	na	na	na	na
M0100053G	ma_0881_B1	M	na	na	na	na
M0100053G	ma_0881_B2	F	na	na	na	na
M0100053H	ma_0667_A	M	na	na	na	na
M0100053H	ma_0667_A1	F	na	na	na	na
M0100053H	ma_0667_A2	F	na	na	na	na
M0100053H	ma_0667_B	F	na	na	na	na
M0100053I	ma_0029_A	M	na	na	na	na
M0100053I	ma_0029_B	M	na	na	na	na
M0100053J	ma_1393_A	M	na	na	na	na
M0100053J	ma_1393_B	M	na	na	na	na
M0100053J	ma_1393_B1	F	na	na	na	na
M0100053L	ma_1346_A	F	na	na	na	na
M0100053L	ma_1346_A1	M	na	na	na	na
M0100053L	ma_1346_B	F	na	na	na	na
M0100053R	ma_0698_A	M	na	na	na	na
M0100053R	ma_0698_B	F	na	na	na	na
M01000545	ma_0711_A	F	na	na	na	na
M01000545	ma_0711_B	M	na	na	na	na
M01000545	ma_0711_B1	F	na	na	na	na
M01000546	ma_0758_A	M	na	na	na	na
M01000546	ma_0758_B	F	na	na	na	na
M01000546	ma_0758_B1	F	na	na	na	na
M01000549	ma_1597_A	M	na	na	na	na
M01000549	ma_1597_B	F	na	na	na	na
M0100054C	ma_0845_A	M	na	na	na	na
M0100054C	ma_0845_B	F	na	na	na	na
M0100054E	ma_0900_A	F	na	na	na	na
M0100054E	ma_0900_B	F	na	na	na	na
M0100054N	ma_0716_A	M	na	na	na	na
M0100054N	ma_0716_A1	F	na	na	na	na
M0100054N	ma_0716_B	M	na	na	na	na
M0100054Q	ma_0807_A	M	na	na	na	na
M0100054Q	ma_0807_B	M	na	na	na	na
M0100054U	ma_0030_A	M	na	na	na	na
M0100054U	ma_0030_B	M	na	na	na	na
M0100054V	ma_0783_A	M	na	na	na	na
M0100054V	ma_0783_B	M	na	na	na	na
M01000550	ma_1014_A	M	na	na	na	na
M01000550	ma_1014_B	F	na	na	na	na
M01000551	ma_0751_A	F	na	na	na	na
M01000551	ma_0751_B	M	na	na	na	na
M01000551	ma_0751_B1	M	na	na	na	na
M01000553	ma_0779_A	F	na	na	na	na
M01000553	ma_0779_B	F	na	na	na	na
M01000559	ma_1376_A	F	na	na	na	na
M01000559	ma_1376_B	M	na	na	na	na
M0100055B	ma_0952_A	F	na	na	na	na
M0100055B	ma_0952_B	F	na	na	na	na
M0100055C	ma_4323_A	U	na	na	na	na
M0100055C	ma_4323_B	U	na	na	na	na
M0100055C	ma_4323_B2	U	na	na	na	na
M0100055D	ma_1700_A	M	na	na	na	na
M0100055D	ma_1700_B	F	na	na	na	na
M0100055D	ma_1700_B1	M	na	na	na	na
M0100055G	ma_0844_A	F	na	na	na	na
M0100055G	ma_0844_B	F	na	na	na	na
